"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WSFG"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-16",," 1648","0.0",,"16.7","6.1","9.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-17",," 1736","0.0",,"15.6","3.9","11.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-18",," 1206","4.8",,"12.2","7.2","19.5"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-19",," 1600","0.0",,"13.9","3.9","9.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-20",," 0306","0.0",,"16.7","6.1","8.7"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-21",," 1518","0.0",,"15.0","3.9","15.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-22",," 1518","0.0",,"15.6","3.3","9.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-23",," 0742","0.0",,"15.6","3.9","10.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-24",," 1736","0.0",,"15.6","2.8","8.7"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-25",," 2336","0.0",,"13.3","7.8","12.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-26",," 0036","0.0",,"12.8","8.9","12.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-27",," 0024","0.0",,"11.7","6.1","8.2"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-28",," 1936","0.0",,"12.2","6.7","4.6"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-29",," 2212","0.0",,"15.0","5.0","11.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-01",," 1454","0.0",,"12.2","7.2","17.5"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-02",," 1454","0.0",,"13.3","4.4","8.2"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-03",," 1642","0.0",,"15.6","7.8","8.7"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-04",," 1442","0.0",,"16.7","11.7","9.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-05",," 1254","0.8",,"15.6","12.2","13.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-06",," 1806","5.1",,"15.6","11.7","5.7"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-07",," 1812","3.6",,"16.7","10.0","14.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-08",," 1600","0.0",,"15.0","8.3","11.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-09",," 2000","0.0",,"15.0","7.8","13.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-10",," 1848","0.0",,"16.1","3.9","11.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-11",," 1300","1.8",,"16.7","9.4","11.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-12",," 1106","4.3",,"15.6","11.7","10.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-13",," 1736","1.3",,"15.6","8.3","11.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-14",," 1712","0.0",,"18.3","8.3","12.3"
